Judul,Harga,Kategori,Keyword_Space,Keyword_Alien,Keyword_Robot,Judul_Length,Jumlah_Kata_Judul,Is_Series,Contains_Colon
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,Science_Fiction,False,False,False,53,7,False,True
Join,35.67,Science_Fiction,False,False,False,4,1,False,False
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,Science_Fiction,False,False,False,88,13,True,True
The Project,10.65,Science_Fiction,False,False,False,11,2,False,False
Soft Apocalypse,26.12,Science_Fiction,False,False,False,15,2,False,False
Sleeping Giants (Themis Files #1),48.74,Science_Fiction,False,False,False,33,5,True,False
Arena,21.36,Science_Fiction,False,False,False,5,1,False,False
Foundation (Foundation (Publication Order) #1),32.42,Science_Fiction,False,False,False,46,5,True,False
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,Science_Fiction,False,False,False,79,14,True,False
Ready Player One,19.07,Science_Fiction,False,False,False,16,3,False,False
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,Science_Fiction,False,False,False,71,11,True,False
Dune (Dune #1),54.86,Science_Fiction,False,False,False,14,3,True,False
Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,Science_Fiction,False,False,False,54,9,True,False
Three Wishes (River of Time: California #1),44.18,Science_Fiction,False,False,False,43,7,True,True
The Last Girl (The Dominion Trilogy #1),36.26,Science_Fiction,False,False,False,39,7,True,False
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,Science_Fiction,False,False,False,56,8,True,False
